SensorId; TimeStamp (s); FrameNumber; AccX (g); AccY (g); AccZ (g); GyroX (deg/s); GyroY (deg/s); GyroZ (deg/s); MagX (uT); MagY (uT); MagZ (uT); EulerX (deg); EulerY (deg); EulerZ (deg); QuatW; QuatX; QuatY; QuatZ; LinAccX (g); LinAccY (g); LinAccZ (g)
1.0000;0.2200;22.0000;0.1211;-0.2445;-0.9889;-1.1921;-2.9602;6.8481;0.0000;0.0000;0.0000;13.3250;6.2399;-97.8091;1.0000;0.0000;0.0000;0.0000;-0.0122;0.0154;0.0216
1.0000;0.2300;23.0000;0.1256;-0.2518;-1.0012;-3.5801;-1.3545;5.8813;0.0000;0.0000;0.0000;13.2951;6.2132;-97.7547;1.0000;0.0000;0.0000;0.0000;-0.0172;0.0230;0.0338
1.0000;0.2400;24.0000;0.1419;-0.2553;-1.0223;-3.5024;-1.6232;7.2246;0.0000;0.0000;0.0000;13.2673;6.1808;-97.6877;1.0000;0.0000;0.0000;0.0000;-0.0340;0.0270;0.0547
1.0000;0.2500;25.0000;0.1500;-0.2583;-1.0318;-1.5939;-4.9518;12.2718;0.0000;0.0000;0.0000;13.2656;6.1109;-97.5811;1.0000;0.0000;0.0000;0.0000;-0.0430;0.0302;0.0640
1.0000;0.2600;26.0000;0.1430;-0.2550;-1.0262;0.2235;-8.2302;17.5656;0.0000;0.0000;0.0000;13.2839;5.9904;-97.4282;1.0000;0.0000;0.0000;0.0000;-0.0378;0.0266;0.0583
1.0000;0.2700;27.0000;0.1272;-0.2533;-1.0164;0.7753;-8.7879;20.1597;0.0000;0.0000;0.0000;13.3099;5.8585;-97.2513;1.0000;0.0000;0.0000;0.0000;-0.0243;0.0245;0.0484
1.0000;0.2800;28.0000;0.1159;-0.2693;-1.0185;0.9446;-8.6842;21.8562;0.0000;0.0000;0.0000;13.3389;5.7237;-97.0576;1.0000;0.0000;0.0000;0.0000;-0.0153;0.0400;0.0504
1.0000;0.2900;29.0000;0.1146;-0.2939;-1.0041;0.9950;-9.3904;26.4146;0.0000;0.0000;0.0000;13.3721;5.5713;-96.8212;1.0000;0.0000;0.0000;0.0000;-0.0165;0.0639;0.0358
1.0000;0.3000;30.0000;0.1520;-0.3343;-1.0534;-0.8787;-7.6901;31.8473;0.0000;0.0000;0.0000;13.3989;5.4259;-96.5307;1.0000;0.0000;0.0000;0.0000;-0.0565;0.1039;0.0850
1.0000;0.3100;31.0000;0.1335;-0.3507;-1.0609;4.0891;-10.4939;37.9131;0.0000;0.0000;0.0000;13.4719;5.2358;-96.1848;1.0000;0.0000;0.0000;0.0000;-0.0409;0.1194;0.0925
